Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Allen Iverson\iversal01,PHI,25:00,2,9,0,0,1,2,1,3,4,3,0,0,2,0,5,.222,,.500
Michael Jordan\jordami01,WAS,22:00,4,13,0,0,0,0,0,4,4,3,2,0,1,1,8,.308,,
Dikembe Mutombo\mutomdi01,PHI,21:00,3,5,0,0,2,2,6,4,10,0,0,1,2,0,8,.600,,1.000
Jason Kidd\kiddja01,NJN,18:00,1,2,0,1,0,0,0,1,1,3,1,0,1,0,2,.500,.000,
Antoine Walker\walkean02,BOS,16:00,3,8,2,4,0,0,0,2,2,1,1,0,2,1,8,.375,.500,
Ray Allen\allenra02,MIL,25:00,6,17,3,10,0,0,1,2,3,5,3,0,1,3,15,.353,.300,
Tracy McGrady\mcgratr01,ORL,23:00,9,15,2,4,4,4,2,1,3,4,3,0,1,1,24,.600,.500,1.000
Paul Pierce\piercpa01,BOS,23:00,9,18,1,6,0,0,3,4,7,3,1,0,0,1,19,.500,.167,
Shareef Abdur-Rahim\abdursh01,ATL,21:00,4,4,1,1,0,0,1,5,6,0,0,0,0,2,9,1.000,1.000,
Jermaine O'Neal\onealje01,IND,17:00,2,5,0,0,3,4,0,7,7,0,0,0,1,1,7,.400,,.750
Alonzo Mourning\mournal01,MIA,16:00,6,7,0,0,1,1,1,2,3,2,0,2,1,1,13,.857,,1.000
Baron Davis\davisba01,CHH,13:00,1,5,0,3,0,0,0,1,1,5,0,0,3,1,2,.200,.000,
Kobe Bryant\bryanko01,LAL,30:00,12,25,0,4,7,7,2,3,5,5,1,0,0,2,31,.480,.000,1.000
Tim Duncan\duncati01,SAS,29:00,7,11,0,0,0,0,3,11,14,2,0,2,3,1,14,.636,,
Kevin Garnett\garneke01,MIN,24:00,7,15,0,1,0,0,6,6,12,2,2,0,0,1,14,.467,.000,
Chris Webber\webbech01,SAC,20:00,3,7,1,2,1,4,3,0,3,4,1,0,2,2,8,.429,.500,.250
Steve Francis\francst01,HOU,18:00,1,8,0,1,1,2,1,1,2,3,2,0,2,1,3,.125,.000,.500
Dirk Nowitzki\nowitdi01,DAL,24:00,5,11,1,4,1,1,2,6,8,3,0,0,2,1,12,.455,.250,1.000
Steve Nash\nashst01,DAL,24:00,3,9,2,4,0,0,2,1,3,9,1,0,0,1,8,.333,.500,
Gary Payton\paytoga01,SEA,22:00,7,13,4,6,0,0,0,1,1,6,3,0,3,1,18,.538,.667,
Elton Brand\brandel01,LAC,19:00,3,5,0,0,0,0,5,5,10,1,0,1,2,2,6,.600,,
Peja Stojakovic\stojape01,SAC,18:00,4,10,3,5,0,0,2,0,2,1,0,0,0,0,11,.400,.600,
Wally Szczerbiak\szczewa02,MIN,12:00,4,6,2,3,0,0,1,2,3,3,1,0,0,0,10,.667,.667,